iter	Logloss
0	0.6595391749
1	0.6328239292
2	0.6104579088
3	0.5876028021
4	0.5691869216
5	0.5515324258
6	0.5363032646
7	0.5222795573
8	0.5101745825
9	0.4977392338
10	0.4869605635
11	0.476433278
12	0.4678297773
13	0.4597067791
14	0.4518871758
15	0.4433687217
16	0.4383302663
17	0.4325718693
18	0.4264029448
19	0.4217555359
20	0.4176284163
21	0.4133447705
22	0.407579323
23	0.4036873381
24	0.40098907
25	0.3970801847
26	0.3940989647
27	0.3905479273
28	0.3881461528
29	0.385039283
30	0.3820029491
31	0.380069044
32	0.3773655985
33	0.3746397122
34	0.3724243976
35	0.3701586308
36	0.3680500361
37	0.3664354313
38	0.3645482243
39	0.3628538256
40	0.3616741574
41	0.3597340114
42	0.3582871461
43	0.3572565063
44	0.3559788231
45	0.3547334891
46	0.3537324745
47	0.3528156281
48	0.3518033164
49	0.3501722321
50	0.3490737941
51	0.3479872434
52	0.3470864927
53	0.3454656423
54	0.3441437569
55	0.3434732159
56	0.3426962829
57	0.3416662837
58	0.3407247572
59	0.3399005317
60	0.339102861
61	0.3381592487
62	0.337312378
63	0.3358099865
64	0.3352500794
65	0.3343419308
66	0.3336127546
67	0.3331676952
68	0.3323952925
69	0.3318222342
70	0.3309352741
71	0.3299037923
72	0.3294562
73	0.3281661773
74	0.3275410237
75	0.3269241475
76	0.3262739782
77	0.3256160968
78	0.3249719581
79	0.3242244918
80	0.3236953778
81	0.3231713025
82	0.3224748531
83	0.3218886866
84	0.321149433
85	0.3204368287
86	0.3196673214
87	0.3188815275
88	0.3183892534
89	0.317838454
90	0.317220738
91	0.3168193653
92	0.3161126346
93	0.3155840521
94	0.3152450587
95	0.314536844
96	0.3141252658
97	0.3138095845
98	0.3133763345
99	0.3128554149
100	0.3123019062
101	0.311958482
102	0.3112962327
103	0.3107772325
104	0.3104843265
105	0.3100756849
106	0.3093091641
107	0.308874503
108	0.3085860962
109	0.3083649391
110	0.3079446681
111	0.3073285738
112	0.3067898012
113	0.3064391759
114	0.306087926
115	0.3056133447
116	0.3052130929
117	0.3047577771
118	0.3044331071
119	0.3039029172
120	0.3035410101
121	0.3030706792
122	0.3027177133
123	0.3023186362
124	0.3018301728
125	0.3015742813
126	0.3010552255
127	0.3006528236
128	0.3002375162
129	0.2999487549
130	0.2995665075
131	0.2989577965
132	0.2986058751
133	0.2983353204
134	0.2980057818
135	0.2976443847
136	0.2974800954
137	0.2971548625
138	0.2969682251
139	0.2966112627
140	0.2960394982
141	0.2957605286
142	0.2954863978
143	0.2950284306
144	0.2945778227
145	0.2943657969
146	0.2941611082
147	0.293996876
148	0.2937378146
