iter	Passed	Remaining
0	100	201640
1	198	198112
2	301	201012
3	407	203499
4	498	198883
5	600	199518
6	702	199916
7	805	200549
8	914	202386
9	1025	204121
10	1125	203519
11	1224	202913
12	1324	202519
13	1425	202160
14	1535	203218
15	1636	202866
16	1736	202508
17	1843	203008
18	1948	203197
19	2055	203452
20	2159	203525
21	2268	203965
22	2373	204020
23	2483	204503
24	2588	204490
25	2690	204237
26	2793	204107
27	2907	204765
28	3015	204950
29	3120	204899
30	3237	205616
31	3343	205594
32	3449	205604
33	3569	206372
34	3669	206009
35	3771	205736
36	3873	205493
37	3978	205430
38	4078	205055
39	4177	204686
40	4279	204462
41	4378	204142
42	4480	203904
43	4580	203634
44	4679	203289
45	4779	203015
46	4879	202771
47	4984	202716
48	5085	202484
49	5186	202271
50	5289	202128
51	5389	201897
52	5489	201677
53	5591	201510
54	5693	201357
55	5824	202182
56	5930	202150
57	6034	202050
58	6136	201864
59	6236	201643
60	6338	201468
61	6442	201373
62	6553	201494
63	6658	201414
64	6765	201418
65	6871	201350
66	6978	201344
67	7083	201260
68	7192	201277
69	7307	201482
70	7410	201341
71	7516	201263
72	7618	201098
73	7725	201071
74	7828	200922
75	7930	200772
76	8032	200599
77	8133	200409
78	8243	200451
79	8344	200258
80	8446	200108
81	8545	199884
82	8646	199709
83	8744	199468
84	8846	199316
85	8948	199155
86	9049	198985
87	9149	198788
88	9250	198615
89	9350	198442
90	9450	198248
91	9549	198044
92	9652	197921
93	9753	197765
94	9854	197613
95	9959	197532
96	10065	197468
97	10178	197548
98	10285	197504
99	10389	197403
100	10495	197334
101	10606	197360
102	10711	197276
103	10817	197205
104	10922	197129
105	11027	197035
106	11133	196963
107	11236	196844
108	11340	196750
109	11442	196611
110	11544	196459
111	11650	196398
112	11752	196254
113	11851	196069
114	11953	195930
115	12053	195771
116	12156	195652
117	12260	195548
118	12363	195427
119	12462	195240
120	12562	195089
121	12663	194938
122	12766	194819
123	12875	194799
124	12975	194639
125	13081	194559
126	13209	194809
127	13312	194697
128	13413	194551
129	13521	194508
130	13625	194395
131	13737	194403
132	13844	194343
133	13947	194222
134	14051	194119
135	14163	194118
136	14266	194001
137	14371	193904
138	14478	193840
139	14583	193755
140	14690	193682
141	14795	193592
142	14899	193489
143	15008	193441
144	15114	193364
145	15229	193391
146	15332	193273
147	15444	193264
148	15548	193152
149	15655	193081
150	15760	192989
151	15869	192935
152	15973	192834
153	16078	192728
154	16189	192702
155	16291	192571
156	16389	192398
157	16489	192243
158	16588	192072
159	16688	191923
160	16787	191747
161	16894	191682
162	17000	191591
163	17104	191484
164	17208	191377
165	17311	191265
166	17413	191136
167	17514	190995
168	17617	190876
169	17717	190725
170	17819	190590
171	17940	190668
172	18045	190569
173	18148	190452
174	18258	190412
175	18368	190362
176	18476	190295
177	18583	190218
178	18687	190107
179	18800	190093
180	18906	190009
181	19014	189934
182	19122	189868
183	19227	189765
184	19337	189721
185	19441	189604
186	19545	189499
187	19669	189579
188	19773	189473
189	19883	189412
190	19983	189269
191	20093	189211
192	20195	189082
193	20305	189025
194	20410	188929
195	20512	188802
196	20615	188674
197	20718	188555
198	20818	188410
199	20920	188286
200	21033	188253
201	21134	188118
202	21235	187979
203	21337	187855
204	21443	187761
205	21547	187654
206	21649	187523
207	21752	187407
208	21856	187292
209	21982	187375
210	22087	187269
211	22190	187155
212	22295	187053
213	22404	186982
214	22509	186879
215	22614	186775
216	22721	186697
217	22825	186585
218	22932	186495
219	23037	186395
220	23147	186333
221	23255	186253
222	23362	186169
223	23472	186101
224	23578	186005
225	23686	185926
226	23796	185868
227	23904	185782
228	24010	185685
229	24113	185565
230	24216	185448
231	24317	185318
232	24417	185173
233	24521	185063
234	24627	184971
235	24732	184861
236	24833	184732
237	24936	184615
238	25040	184503
239	25142	184378
240	25243	184246
241	25345	184122
242	25444	183974
243	25548	183866
244	25632	183614
245	25732	183476
246	25836	183365
247	25948	183310
248	26056	183235
249	26184	183293
250	26296	183237
251	26420	183268
252	26532	183207
253	26636	183101
254	26742	183000
255	26847	182899
256	26953	182799
257	27058	182697
258	27165	182604
259	27266	182475
260	27372	182377
261	27477	182272
262	27580	182156
263	27685	182052
264	27792	181960
265	27892	181828
266	27995	181710
267	28102	181617
268	28208	181518
269	28316	181433
270	28424	181353
271	28542	181328
272	28648	181231
273	28755	181136
274	28858	181024
275	28966	180936
276	29073	180843
277	29173	180707
278	29272	180563
279	29372	180432
280	29472	180298
281	29573	180167
282	29677	180055
283	29799	180053
284	29902	179938
285	30010	179853
286	30112	179732
287	30215	179616
288	30323	179526
289	30437	179477
290	30541	179362
291	30641	179229
292	30748	179137
293	30856	179050
294	30965	178972
295	31073	178885
296	31185	178815
297	31289	178707
298	31393	178597
299	31497	178487
300	31601	178377
301	31709	178289
302	31812	178170
303	31914	178051
304	32014	177918
305	32115	177789
306	32217	177666
307	32315	177526
308	32420	177418
309	32522	177297
310	32624	177177
311	32728	177067
312	32831	176955
